Nama Rumah Sakit,Kode Rumah Sakit,Jenis Rumah Sakit,URL,Tanggal Registrasi,Alamat,Kab/Kota,Kodepos,Telp,Kelas Rumah Sakit,Direktur,Penyelenggara,Update,Fax,Email,Humas,Website,Dokter Spesialis Anak,Dokter Spesialis Obstetri dan Ginekologi,Dokter Spesialis Penyakit Dalam,Dokter Spesialis Bedah,Dokter Spesialis Radiologi,Dokter Spesialis Rehabilitasi Medik,Dokter Spesialis Anestesiologi dan Terapi Intensif,Dokter Spesialis Jantung dan Pembuluh Darah,Dokter Spesialis Mata,Dokter Spesialis Telinga Hidung Tenggorokan,Dokter Spesialis Kedokteran Jiwa atau Psikiatri,Dokter Umum,Dokter GIGI,Dokter Spesialis GIGI,Perawat,Bidan,Farmasi,Tenaga Kesehatan Lainnya,Kamar VVIP,Kamar VIP,Kamar Kelas Satu,Kamar Kelas Dua,Kamar Kelas Tiga,Tenaga Kerja Non Kesehatan,Luas Tanah,Luas Bangunan,No Surat Izin,Tanggal Surat Izin,Surat Izin dari,Sifat Surat Izin
RSUD Cianjur,3203015,RSU,https://medicalclinic.id/rumah-sakit/daerah/cianjur/rsud-cianjur.html,  18/01/2016, Jl. Rumah Sakit No.1 Cianjur, Cianjur, 43216, 0263-261026, B," dr. Hj. Ratu Tri Yulia Herawati, M.KM", Pemkab, 09/05/2017, 0263-284277, rsudkabcianjur@gmail.com, 0263-261026, www.rsud.cianjurkab.go.id, 2,-, 2, 4, 1, 1, 2,-, 1, 2,  1, 35, 2, 2, 381, 34, 9, 66, 2 Ruang, 23 Ruang, 49 Ruang, 132 Ruang, 227 Ruang, 381, 37.335 m2, 12.993 m2, 445.1/Kep.62/041030/BPMPT/2016, 30/06/2016, BPMPT JABAR, Perpanjang
RSUD Majalaya,3204016,RSU,https://medicalclinic.id/rumah-sakit/daerah/bandung/rsud-majalaya.html,  16/01/2017, Jl. Cipaku No.87 Paseh Kabupaten Bandung, Bandung, 40383, 022-5950035, B," Drg. GRACE MEDIANA PURNAMI, M.Kes.", Pemkab, 09/05/2017, 022-5950955, rsud_majalaya@yahoo.co.id, 022-5950035-168, rsudmajalaya.bandungkab.go.id, 3,-, 5, 3, 2, 1, 2, 1, 2, 2,  2, 17, 3, 2, 143, 25, 13,-, Ruang, 8 Ruang, 9 Ruang, 19 Ruang, 151 Ruang, 99, 27890 m2," 11329,46 m2", 445/Kep.127/I.25.b/IPRSU-BPMPT/2015, 10/12/2015, BAD PENANAMAN&PERIZINAN TERPADU JABAR, Perpanjang
RSU Cibabat,3277020,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-cimahi/rsu-cibabat.html,  29/04/2017, Jl. Jend. H. Amir Machmud No. 140 Kel. Cibabat Kec. Cimahi Utara, Kota Cimahi, 40513, (022) 6652025, B," dr. TRIAS NUGRAHADI, Sp.KN", Pemkot, 09/05/2017, (022) 6649112, rsucibabat@yahoo.com, 08787905680, www.rsudcibabat.cimahikota.go.id, 3,-, 5, 2, 2, 2, 3, 2, 2, 2,  1, 26, 2, 5, 272, 31, 6, 68, Ruang, 10 Ruang, 40 Ruang, 54 Ruang, 139 Ruang, 224, 21531 m2," 17621,14 m2", 445.1/Kep.43/I/IPRSU-B/BPPT/2012, 18/04/2012, BPPT PROVINSI JABAR, Tetap
Rumkit Tk II Dustira Cimahi,3277031,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-cimahi/rumkit-tk-ii-dustira-cimahi.html,  31/12/2014, Jl. dr. Dustira No.1 Kel. Baros Kec. Cimahi Tengah, Kota Cimahi, 40521, 022-6652207, B, Kolonel Ckm dr. Asep Usmanto. Sp.B, TNI AD, 09/05/2017, 022-6652170, rsdustira@yahoo.com, -, rsdustira.com, 3,-, 5, 3, 3, 1, 4, 1, 3, 4,  2, 47, 14, 1, 420,-, 23, 5, 12 Ruang, 20 Ruang, 93 Ruang, 210 Ruang, 128 Ruang, 486, 133.370 m2 m2, 54.481 m2 m2, 445.1/Kep.83/I.25.b/IPRSU-B-BPPT/2012, 14/11/2012, BPPT PROP JABAR, Perpanjang
RS Jiwa Provinsi Jawa Barat,3217042,RS Jiwa/ RSKO,https://medicalclinic.id/rumah-sakit/daerah/bandung-barat/rs-jiwa-provinsi-jawa-barat.html,  09/05/2017, Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat, Bandung Barat, 40551, 022-2700260, A," dr.Rr. Endang Noersita Daim, MPH", Pemprop, 09/05/2017, 022-2700304, rsj@jabarprov.go.id, 022-2700260, rsj.jabarprov.go.id, 1,-, 1,-, 1, 1, 1,-,-,-,  14, 11, 3, 1, 215,-, 4, 69, Ruang, 6 Ruang, 4 Ruang, 93 Ruang, 138 Ruang, 188," 234.658,16 m2"," 9.831,03 m2", HK.02.03/1/0823/2015, 20/03/2015, Menteri Kesehatan, Tetap
RSUD Al Ihsan Provinsi Jawa Barat,3204086,RSU,https://medicalclinic.id/rumah-sakit/daerah/bandung/rsud-al-ihsan-provinsi-jawa-barat.html,  19/03/2014, Jl. Kiatramanggala Bale Endah, Bandung, 40375, 022-5940872, B," H.KOMAR HANIFI, dr., MKM", Pemprop, 09/05/2017, 022-5941709, -rsudalihsan@yahoo.com, -0225940872, rsudalihsan@yahoo.com, 4,-, 3, 4, 1, 1, 2, 1, 3, 1,  1, 16, 1, 1, 285, 10, 6,-, Ruang, 7 Ruang, 48 Ruang, 108 Ruang, 115 Ruang, 230, -45000 m2, -30000 m2, -445/kep.30/1/ISPRS-BPPT/2012, 02/03/2012, -BPPT, Tetap
RSUD Dr. Slamet,3205010,RSU,https://medicalclinic.id/rumah-sakit/daerah/garut/rsud-dr.-slamet.html,  13/03/2017, Jl. Rumah Sakit No.12 Garut, Garut, 44151, 0262-232720, B," dr.H.MASKUT FARID, MM", Pemkab, 09/05/2017, 0262-541327, rekammedisgarut@gmail.com, 0262-232720, -, 4,-, 4, 3, 1,-, 2, 1, 2, 2,  1, 21, 2, 1, 444, 35, 14, 44, Ruang, 46 Ruang, 51 Ruang, 94 Ruang, 318 Ruang, 352, 38000 m2, 20895 m2, 445.1/Kep.97/I.25.b/IPRSU-B-BPPT/2013, 24/03/2016, BPPT Jawa Barat, Perpanjang
RSUD dr. Soekardjo,3206011,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-tasikmalaya/rsud-dr.-soekardjo.html,  19/10/2013, Jl. Rumah Sakit 33 Tasikmalaya, Kota Tasikmalaya, 46113, (0265) 331683, B," Dr. H. WASISTO HIDAYAT, M.KES", Pemkot, 09/05/2017, (0265) 331747, ppl_rsudtasikmalaya@yahoo.co.id, (0265) 331683, www.rsuddrsoekardjo.go.id, 5,-, 5, 4, 4, 2, 3,-, 1, 2,  1, 13, 1, 2, 330, 54, 17, 68, 8 Ruang, 25 Ruang, 53 Ruang, 20 Ruang, 331 Ruang, 403," 33.158,5 m2"," 28.260,39 m2", 445.1/Kep.25/I.25.b/IPRSU-B-BPMPT/2016, 01/03/2016, Kepala BPMPT Jawa Barat, Perpanjang
RSUD Ciamis,3207012,RSU,https://medicalclinic.id/rumah-sakit/daerah/ciamis/rsud-ciamis.html,  17/02/2014, Jl. Rumah Sakit Jalan Rumah Sakit No.76 Ciamis, Ciamis, 46211, 0265-771018, C," dr. H.ACENG SOLAHUDIN AHMAD, M.Kes", Pemkab, 09/05/2017, 0265-772118, rsudciamisprogram@yahoo.co.id, (0265) 771018, http://rsudciamis.simrsportal.net, 1,-, 2, 2, 2, 1, 2, 1, 1, 1,  1, 9, 3,-, 177, 28, 4, 40, Ruang, 21 Ruang, 18 Ruang, 36 Ruang, 165 Ruang, 84, 20.700 m2, 22.325 m2, 503/Kpts.177/DPMPTSP, 14/03/2017, Kepala Dinas PMPTSP Kab.Ciamis, Perpanjang
RSUD Banjar,3207023,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-banjar/rsud-banjar.html,  02/06/2014, Jl. Rumah Sakit No. 5 Kota Banjar Jawa Barat, Kota Banjar, 46322, 0265-741032, B," H. Herman, dr., M. Kes", Pemkab, 09/05/2017, 0265-744730,-, 0265741032, www.rsud.banjarkota.go.id, 4,-, 2, 1, 1, 1, 2, 1, 1, 1,  2, 14, 2,-, 196, 24, 5, 87, 6 Ruang, 33 Ruang, 25 Ruang, 52 Ruang, 153 Ruang, 188, 18.075 m2, 10.820 m2, 445.1/Kep 85/125B/IPRSU-B-BPPT/2012, 23/11/2012, BPPT, Perpanjang
RS Paru Provinsi Jawa Barat,3209036,RSTP,https://medicalclinic.id/rumah-sakit/daerah/cirebon/rs-paru-provinsi-jawa-barat.html,  31/01/2013," Jl. Pangeran Kejaksan POBOX 4 Desa Sidawangi, Kecamatan Sumber", Cirebon, 45611, 0231-8330707, B," dr. Rr. ENDANG NOERSITA D, MPH.", Pemprop, 09/05/2017, 0231-8330747, rsp@jabarprov.go.id, 0231-829666, www.rsparu.jabarprov.go.id,-,-, 1,-, 1,-, 1, 1,-,-,  0, 11, 1,-, 73,-, 2, 33, Ruang, 9 Ruang, 18 Ruang, 26 Ruang, 56 Ruang, 89," + 110.084,94 m2"," + 8.985,58 m2", 445.1/Kep.71/041030/BPMPT/2016, 11/08/2016, BPMPT Provinsi Jawa Barat, Tetap
RSUD Arjawinangun,3209040,RSU,https://medicalclinic.id/rumah-sakit/daerah/cirebon/rsud-arjawinangun.html,  28/02/2014, Jl. Palimanan - Jakarta KM.2 No.1 Arjawiangun, Cirebon, 45162, 0231-358335, B, dr. Hj. R. Triyani Judawinata, Pemkab, 09/05/2017, 0231-359090, arjawinangunrsud@yahoo.com, 0231-358335 ext, http://rsudarjawinangun.cirebonkab.go.id, 3,-, 3, 4, 2, 1, 3, 2, 2, 2,  1, 23, 2,-, 216, 32, 8, 51, 10 Ruang, 15 Ruang, 44 Ruang, 72 Ruang, 229 Ruang, 220, 45000 m2, 20000 m2, 445.1/kep.06/1.25.b/IPRSU-B-BPPT/2013, 07/02/2013, BPPT Prov Jawa Barat, Tetap
RSU Mitra Plumbon,3209051,RSU,https://medicalclinic.id/rumah-sakit/daerah/cirebon/rsu-mitra-plumbon.html,  02/02/2013, Jl. Raya Plumbon Km.11, Cirebon, 45155, 323100, B," dr. Herry Septijanto., MKes", Swasta/Lainnya, 09/05/2017, 322355, rsmitraplumbon@yahoo.com, 085104810011, www.rsmitraplumbon.com, 4,-, 4, 2, 3, 1, 3, 2, 2, 1,  0, 24, 3, 1, 201, 24, 8, 47, 21 Ruang, 12 Ruang, 28 Ruang, 93 Ruang, 70 Ruang, 390, 24231 m2, 16226 m2, 445/Kep.42/I/IPPRSS-BPPT/2012, 18/04/2012, BPPT Prov JABAR, Tetap
RSUD Indramayu,3212016,RSU,https://medicalclinic.id/rumah-sakit/daerah/indramayu/rsud-indramayu.html,  12/12/2015, Jl. Murah Nara No. 7 Sindang Indramayu, Indramayu, 45222, 0234-272655, B," dr. Hj. LISFAYENI, MM", Pemkab, 09/05/2017, 0234-275330, rsudkabindramayu@yahoo.co.id, 081313139183, rsudindramayukab.go.id, 3,-, 2, 2, 1,-, 1,-, 2, 1,  1, 21, 2, 1, 193, 29, 10, 51, Ruang, 27 Ruang, 19 Ruang, 23 Ruang, 129 Ruang, 128, 21148 m2, 16282 m2, 445/Kep.69/1/itprs-bppt/2011, 05/07/2011, Pemerintah Provinsi Jawa Barat, Tetap
RSUD Bayu Asih,3214011,RSU,https://medicalclinic.id/rumah-sakit/daerah/purwakarta/rsud-bayu-asih.html,  27/02/2017, Jl. Veteran No. 39 Purwakarta, Purwakarta, 41115, 0264-200100, B," dr. Agung Darwis Suriaatmadja,M.Kes", Pemkab, 09/05/2017, 0264-202215, sirsbayuasih@yahoo.com, 0264-200100, rsudbayuasih.org, 3,-, 5, 2, 2,-, 2, 1, 2, 1,  1, 20, 2, 1, 251, 22, 7, 43, Ruang, 23 Ruang, 45 Ruang, 77 Ruang, 99 Ruang, 191, 54.480 m2, 80.876 m2, 445.1/Kep.01/1.25.b/IPRSU-B-BPMPT/2016, 11/01/2016, Kab Purwakarta, Perpanjang
RSUD Bekasi,3275013,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bekasi/rsud-bekasi.html,  02/03/2017, Jl. Pramuka No. 55 Bekasi, Kota Bekasi, 17144, 021-8841005, B, dr. PUSPORINI, Pemkot, 09/05/2017, 021-8853731, rsubludkotabekasi@gmail.com, 021-8841005, www.rsudkotabekasi.net, 7,-, 6, 3, 3, 2, 3, 3, 5, 1,  2, 27, 7, 5, 203, 20, 14, 59, 2 Ruang, 7 Ruang, 76 Ruang, 60 Ruang, 155 Ruang, 232, 16100 m2, 11952 m2, 445.1/Kep.128/1.25.b/IPRSU-B-BPMPT/2015, 10/12/2015, BPMPT, Tetap
RSU Ananda,3216218,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bekasi/rsu-ananda.html,  20/07/2013," Jl. Sultan Agung No. 173, Kec. Medan Satria - Kota Bekasi.", Kota Bekasi, 17133, 021-8854338, B, dr. Ihsan AS, Swasta/Lainnya, 09/05/2017, 021-88950141, rsa_marketing@yahoo.com, 8854338 ext 222, www.rsananda.com, 5,-, 5, 5, 2, 2, 2, 2, 4, 2,  1, 13, 5, 1,-,-,-,-, 2 Ruang, 10 Ruang, 22 Ruang, 31 Ruang, 51 Ruang,-, 7642 m2, 5595 m2, HK.03.05/I/2304/11, 15/09/2011, Badan Pelayanan Terpadu, Tetap
RSUD Kab.Bekasi,3216252,RSU,https://medicalclinic.id/rumah-sakit/daerah/bekasi/rsud-kab.bekasi.html,  29/04/2016," Jl. Teuku Umar Cibitung,Bekasi", Bekasi, 17511, 021-8837 4444, B," dr. Hj. SUMARTI, M.Kes", Pemkab, 09/05/2017, 021-8830152, rsud.kabbekasi@yahoo.co.id, 021-88370449, www.rsudkabbekasi.go.id, 5,-, 5, 4, 4,-, 3, 4, 2, 2,  1, 27, 3, 2, 152, 30, 12, 24, Ruang, Ruang, Ruang, 77 Ruang, 109 Ruang, 120, 24.053 m2," 9.246,3 m2", No : 445.1/kep.30/I.25.b/IPRSU-B-BPMPT/2016, 21/04/2016, BPMPT Provinsi Jawa Barat, Perpanjang
RSUD Kota Bogor,3271104,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsud-kota-bogor.html,  07/08/2014, Jl. Dr. Sumeru 120 Kota Bogor, Kota Bogor, 16111, 0251-8312292, B," dr. Dewi Basmala, MARS", PEMKOT, 09/05/2017, 0251-8371001, rsudkotabogor@yahoo.com, 0251-8312292, www.rsudkotabogor.org, 4,-, 8, 5, 3, 1, 3, 2, 3, 4,  2, 18, 5, 2,-,-, 6,-, Ruang, 5 Ruang, 42 Ruang, 60 Ruang, 104 Ruang, 108, 30000 m2, 7924 m2, 445.1/Kep.35/I.25.b/IPRSU-B-BPMPT/2016, 21/04/2021, BPMPT Provinsi Jawa Barat, Tetap
RSUP Dr. Hasan Sadikin,3273015,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bandung/rsup-dr.-hasan-sadikin.html,  28/02/2017, Jl. Pasteur 38 Bandung, Kota Bandung, 40161, 022-2034953 /54, A," Dr. Ayi Djembarsari, MARS", Kemkes, 09/05/2017, 022-2032216, humprorshs@gmail.com, 022-2551101, web.rshs.or.id, 50,9, 9,-, 15, 11, 21, 15, 1, 15,  0, 27, 4, 7, 1095, 85, 34, 196, Ruang, 74 Ruang, 115 Ruang, 159 Ruang, 429 Ruang, 552, 87.798 m2, 109.483 m2, 297/Menkes/SK/VIII/2012, 13/08/2012, Menteri Kesehatan Republik Indonesia, Tetap
RSUD Gunung Jati,3274016,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-cirebon/rsud-gunung-jati.html,  19/10/2011, Jl. Kesambi No.56 Cirebon - 45134, Kota Cirebon, 45134, 0231-206330, B," dr. Bunadi, MKM", Pemkot, 09/05/2017, 0231-203336, rsudgunungjati@cirebonkota.go.id, 0231-206330, www.rsudgunungjati.cirebonkota.go.id, 3,-, 5, 3, 3, 1, 4, 4, 4, 5,  2, 37, 2, 4, 310, 43, 21, 68, Ruang, 39 Ruang, 66 Ruang, 42 Ruang, 228 Ruang, 423, 64.340 m2, 26.216 m2, 445.1/kep.16/I.25b/IPRSU-B/BPPT/2013, 03/04/2013, BPPT Jawa Barat, Perpanjang
RSU Sumber Waras,3209133,RSU,https://medicalclinic.id/rumah-sakit/daerah/cirebon/rsu-sumber-waras.html,  22/07/2013," Jl. Urip Sumoharjo No.5 Ciwaringin, Kab. Cirebon", Cirebon, 45167, 0231341079, B," dr. Wawat Setiamiharja, MARS", Swasta/Lainnya, 09/05/2017, 0231342112, sumberwarasrs@yahoo.com, -, -, 2,-, 2, 2, 2, 1, 2, 1, 2, 1,  1, 17, 4, 1, 146, 14, 19, 17, 2 Ruang, 6 Ruang, 26 Ruang, 23 Ruang, 61 Ruang, 9, 16767.5 m2, 7140 m2, HK.03.05/I/1777/12, 19/09/2012, KEMENKES RI, Tetap
RSU Dharma,3404135,RSU,https://medicalclinic.id/rumah-sakit/daerah/sleman/rsu-dharma.html,  15/07/2016, Jl. Yogya-Wonosari Sleman Yogya, Sleman, 55511, 0274 444333, D," dr. Marshal Soekarno, M. P. H.", Organisasi Sosial, 09/05/2017, -, dharmarsu@gmail.com, 082225719312, -, 1,-, 1, 1,-,-, 1,-,-,-,  0, 8, 1,-, 46, 7, 1, 17, Ruang, 2 Ruang, 10 Ruang, Ruang, 15 Ruang, 11, 4661 m2," 1979,5 m2", 503/3375/590A/ DKS/2016, 31/05/2016, BUPATI SLEMAN, Tetap
RSUD Bangil,3514036,RSU,https://medicalclinic.id/rumah-sakit/daerah/pasuruan/rsud-bangil.html,  31/01/2012, Jl. Raya Raci - Bangil, Pasuruan, 67153, 0343-744900, C, drg. LOEMBINI PEDJATI LAJOENG, Pemkab, 09/05/2017, 0343-747789, rsud.bangil@gmail.com, 0343-747789, www.rsudbangil.com, 3,-, 3, 3, 2, 1, 2, 2, 2, 2,  0, 12, 3,-, 162, 26, 7, 42, 1 Ruang, 10 Ruang, 30 Ruang, 23 Ruang, 165 Ruang, 105, 78.000 m2," 27.928,80 m2", 445/01/424.077/2015, 11/08/2015, Bupati Pasuruan, Perpanjang
RSU Lakipadada Tana Toraja,7318054,RSU,https://medicalclinic.id/rumah-sakit/daerah/tana-toraja/rsu-lakipadada-tana-toraja.html,  00/00/0000, Jl. Pongtiku Mandetek Tana Toraja, Tana Toraja, 91811, 0423-22264, C," dr.Rudhy Andilolo,M.Kes, Sp.An", Pemkab, 09/05/2017, 0423-22881, lakipadadarsud@gmail.com, 085238015605, -, 1,-, 2, 2, 1,-, 2,-, 1, 1,  0, 9, 2,-, 114, 32, 5, 49, 16 Ruang, 5 Ruang, 39 Ruang, 20 Ruang, 101 Ruang, 44," 47,557 m2"," 10,169,29 m2", 001/KPPT/SK-IORS/X/2015, 09/10/2015, BUPATI, Tetap
RSUD DR. Eko Maulana Ali,1901044,RSU,https://medicalclinic.id/rumah-sakit/daerah/bangka/rsud-dr.-eko-maulana-ali.html,  31/01/2015," Jl. Raya Belinyu Dusun Simp. Cangkum, Desa Riding Panjang Belinyu - Bangka", Bangka, 33254, 08117176404, D, dr. Aswin Hakim, Pemkab, 09/05/2017, -, rsud.DR_ekomaulanaali@yahoo.co.id, 081367270863, -,-,-, 1,-,-,-,-,-,-,-,  0, 4, 1,-, 24, 10, 2, 13, Ruang, Ruang, Ruang, Ruang, 40 Ruang, 24," 52.132,293 m2", 663 m2, 441.7/01/OP.RS/KPT/XII/2014, 18/12/2014, Kantor Pelayanan Terpadu Kab. Bangka, Sementara
RSU Betha Medika,3202073,RSU,https://medicalclinic.id/rumah-sakit/daerah/sukabumi/rsu-betha-medika.html,  08/02/2013," Jl. Raya Cisaat No.595, Sukabumi", Sukabumi, 43152, 0266-224128, D," dr. Raditya Asri Wisuda., MARS", Swasta/Lainnya, 09/05/2017, 0266-224128, humas.rsbm@gmail.com,-, www.kasih-group.com/rsbethamedika, 1,-, 2, 1, 1,-, 2, 1, 1, 1,  1, 7, 3,-,-,-,-,-, 1 Ruang, 2 Ruang, 5 Ruang, 8 Ruang, 32 Ruang,-, 4000 m2, 8000 m2,-, 16/02/2011,-,-
RSU Siloam Purwakarta,3214031,RSU,https://medicalclinic.id/rumah-sakit/daerah/purwakarta/rsu-siloam-purwakarta.html,  22/05/2014," Jl. Bungursari No.1, Purwakarta", Purwakarta, 41181, 0264-219168, B," dr. Irwan Gandana, MARS", Swasta/Lainnya, 09/05/2017, 0264-212674, irwan.gandana@siloamhospitals.com, 0264-219168, www.siloamhospitals.com, 4,-, 3, 2, 3, 1, 2, 2, 2, 2,  0, 10, 2,-,-,-, 3,-, 2 Ruang, 10 Ruang, 26 Ruang, 28 Ruang, 43 Ruang, 142, 13132 m2, 18000 m2, 445.1/Kep.49/l.25.b/IPRSU-B-BPPT/2014, 14/05/2014, Kepala Badan Pelayanan Perijinan Terpadu, Sementara
RSU Islam Banjarnegara,3304032,RSU,https://medicalclinic.id/rumah-sakit/daerah/banjarnegara/rsu-islam-banjarnegara.html,  09/05/2017, Jl Raya Bawang KM 9 Banjarnegara, Banjarnegara, 53471, 0286597015, D, Dr. H. SETYOKO M., Organisasi Sosial, 09/05/2017, 0286597015, rsi_banjarnegara@yahoo.co.id, 0286597015,-, 1,-, 2, 3, 1,-, 1,-,-,-,  0, 6, 1,-, 80, 9, 5, 17, Ruang, 6 Ruang, 7 Ruang, 26 Ruang, 34 Ruang, 116, 24771 m2," 7.07,70 m2", 445/1114, 25/10/2011, BUPATI, Tetap
RSU Singaparna Medika Citrautama,3206023,RSU,https://medicalclinic.id/rumah-sakit/daerah/tasikmalaya/rsu-singaparna-medika-citrautama.html,  01/01/2015," Jl. Rancamaya Singaparna, Tasikmalaya", Tasikmalaya, 46412, 0265-543456, C," Plt. dr. H.Heru Suharto, MM.Kes", Pemkab, 09/05/2017, 0265-543237, rsudkab.tasikmalaya@yahoo.co.id, -, -, 1,-, 2, 1, 2, 1, 1,-, 1, 1,  1, 8, 1,-, 26, 16, 1, 15, Ruang, 15 Ruang, 20 Ruang, 28 Ruang, 129 Ruang, 2, 20.000 m2, 1.308.06 m2, 445/Kep.144/Diskes/2014, 24/02/2014, Bupati, Tetap
RSU Awal Bros,3275392,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bekasi/rsu-awal-bros.html,  08/08/2008," Jl. KH. Noer Ali, Kav. 17-18 Kota Bekasi", Kota Bekasi, 17144, 021-8868888, B," Dr. Prima yunika, MARS", Perusahaan, 09/05/2017, 021-8855210, mkt.bks@awalbros.com, 021-8868888, bekasi.awalbros.com, 6,-, 8, 3, 2, 3, 5, 6, 4, 4,  1, 19, 4, 13, 213, 16, 5, 16, 4 Ruang, 40 Ruang, 24 Ruang, 63 Ruang, 50 Ruang, 204, 10176 m2, 7053 m2, 445.1/KEP.91/I.25.B/IPRSU-B-BPPT/2013, 21/11/2013, Kepala BPPT Prov. Jabar, Perpanjang
RSU Martha Friska Multatuli,1275888,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rsu-martha-friska-multatuli.html,  31/10/2012, Jl. Multatuli Komplek Taman Multatuli Indah No.1 Medan, Kota Medan, 20151, 061-4149666, B," dr. Yutu Solihat, Sp.AN", Perusahaan, 09/05/2017, 0614154761, info@marthafriska.com, 061-415761, www.marthafriska.com, 3,-, 5, 2, 2, 1, 2, 2, 2, 2,  0, 10, 2,-, 85, 19, 8, 12, 14 Ruang, 6 Ruang, 30 Ruang, 19 Ruang, 22 Ruang, 61, 1766 m2, 3971 m2, 440.442/25859/XII/2014, 22/12/2016, Kepala Dinkes Provinsi Sumatera Utara, Tetap
RSUD Pameungpeuk,3205022,RSU,https://medicalclinic.id/rumah-sakit/daerah/garut/rsud-pameungpeuk.html,  02/06/2014, Jl. Raya Miramareu No 99 Desa Sirnabakti Kec. Pameungpeuk, Garut, 44175, 0262-521199, D," dr. Hj. Nadiya Fachruddin, M.MRS.", Pemprop, 09/05/2017, 0262-521133, rsudpameungpeuk@gmail.com, 085295289360,-, 1,-, 1, 1,-,-, 1,-, 1, 1,  0, 3, 2,-, 20, 12, 3, 4, Ruang, Ruang, Ruang, 16 Ruang, 56 Ruang, 79, 29755 m2, 2911 m2, 503/406/01-IORS/BPMPT/2016, 15/02/2016, Kepala BPMPT Garut, Perpanjang
RSU Banjar Patroman,3279003S,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-banjar/rsu-banjar-patroman.html,  29/08/2013, JALAN STADION PATROMAN KAVLING III NOMOR 3 KOTA BANJAR, Kota Banjar, 46311, 0265 - 2732 532, Belum ditetapkan," Dr. dr. H. Herman Sutrisno, MM", Perusahaan, 09/05/2017, 0265-2732533,-, 0265 - 2732 531, www.rsbanjarpatroman.com, 2,-, 3, 2,-,-, 1,-, 1,-,  1, 7, 2,-, 25, 8, 1,-, 5 Ruang, 10 Ruang, 16 Ruang, 10 Ruang, 15 Ruang, 45, 9.000 m2, 4.256 m2, 441/Kpts. 1909-Dinkes/2012, 00/00/0000, DINAS KESEHATAN KOTA BANJAR, Sementara
RS Harapan Bunda,3273541,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-bandung/rs-harapan-bunda.html,  09/05/2017," Jl. Pluto Raya Blok C Margahayu Raya, Buah Batu", Kota Bandung, 40286, 022-7506490, C, dr. Rilda Febrianda, Swasta/Lainnya, 09/05/2017, 022-7514712, rb_harbun@yahoo.co.id, 081214912135, www.harapanbunda.com, 3,-, 1, 1, 1,-, 2,-,-,-,  0, 8, 1,-, 25, 17, 6, 2, Ruang, 11 Ruang, 7 Ruang, 12 Ruang, 16 Ruang, 40, 2564 m2, 1500 m2, 445/5429-Dinkes/02-SI-RS/V/2016, 25/05/2016, Dinas kesehatan Kota Bandung, Tetap
RSU Permata Cirebon,3209054,RSU,https://medicalclinic.id/rumah-sakit/daerah/cirebon/rsu-permata-cirebon.html,  25/12/2015, Jl. TUPAREV No.117, Cirebon, 45153, 0231-8338877, B, dr. Asad Sp.THT-KL, Swasta/Lainnya, 09/05/2017, (0231)8338899, info@rspermatacirebon.com,-, www.rspermatacirebon.com, 5,-, 7, 5, 2, 1, 2, 2, 4, 2,  2, 12, 3,-,-,-, 8,-, 4 Ruang, 20 Ruang, 14 Ruang, 48 Ruang, 40 Ruang, 80, m2, 12673.40 m2,-, 00/00/0000,-,-
RSUD Haji Abdoel Madjid Batoe,1504015,RSU,https://medicalclinic.id/rumah-sakit/daerah/batang-hari/rsud-haji-abdoel-madjid-batoe.html,  07/03/2013, Jl. Prof. Dr. Sri Soedewi Muara Bulian, Batang Hari, 36613, 0743-21043, C," dr. Hermina M. Basrie, MKM", Pemkab, 08/05/2017, 0743-21858, rsudhamba@batangharikab.go.id, 0743-21043, -, 2,-, 1, 3,-,-, 2,-, 1, 1,  1, 13, 3,-, 156, 35, 5, 58, 16 Ruang, 5 Ruang, 9 Ruang, 20 Ruang, 68 Ruang, 71, 27.621 m2, 10.503 m2, 503/01/2015, 13/01/2016, BPMPPT Kab. Batang Hari, Perpanjang
RSUD Arga Makmur,1703016,RSU,https://medicalclinic.id/rumah-sakit/daerah/bengkulu-utara/rsud-arga-makmur.html,  01/05/1997, Jl. Siti Khadijah No. 08 Arga Makmur, Bengkulu Utara, 38611, 0737-521118, C," Dr.JASMEN SILITONGA, M.Kes.,SpKK", Pemkab, 08/05/2017, 0737-521118, rsud_arma0804@yahoo.com, 0737-511118, -, 2,-, 2, 2, 1,-, 1, 1, 1,-,  0, 12, 1,-, 82, 19, 3, 54, 2 Ruang, 10 Ruang, 21 Ruang, 19 Ruang, 50 Ruang, 35, 22.700 m2, 15.500 m2, No.445/0862/Kesehatan, 30/06/2012, BUPATI BENGKULU UTARA, Tetap
